Time_h,Aeration_rate,Agitator_RPM,Sugar_feed,DO2,Penicillin_Conc,pH,Temperature,Fault_ref,PAT_ref,Batch_ref,Batch ID
0.2,30,100,8,14.711,1.0178000000000001e-25,6.4472,298.22,0,1,0,0
0.4,30,100,8,14.699,0.001,6.4932,298.17,0,1,0,0
0.6,30,100,8,14.686,0.00099934,6.5425,298.14,0,1,0,0
0.8,30,100,8,14.661,0.00099874,6.5753,298.11,0,1,0,0
1.0,30,100,8,14.633,0.00099821,6.5825,298.09,0,1,0,0
1.2,30,100,8,14.621,0.00099771,6.5717,298.08,0,1,0,0
1.4,30,100,8,14.604,0.00099722,6.5521,298.07,0,1,0,0
1.6,30,100,8,14.583,0.00099674,6.5287,298.06,0,1,0,0
1.8,30,100,8,14.547,0.00099627,6.5061,298.06,0,1,0,0
2.0,30,100,8,14.529,0.0009958,6.4844,298.05,0,1,0,0
2.2,30,100,8,14.509,0.0009953,6.4728,298.05,0,1,0,21267
2.4,30,100,8,14.496,0.00099477,6.4764,298.05,0,1,0,21763
2.6,30,100,8,14.462,0.00099421,6.4915,298.05,0,1,0,22258
2.8,30,100,8,14.434,0.00099363,6.51,298.05,0,1,0,22254
3.0,30,100,8,14.408,0.00099306,6.5233,298.05,0,1,0,22249
3.2,30,100,15,14.372,0.00099251,6.5239,298.06,0,1,0,22245
3.4,30,100,15,14.326,0.00099198,6.5122,298.06,0,1,0,22240
3.6,30,100,15,14.289,0.00099147,6.4945,298.06,0,1,0,21735
3.8,30,100,15,14.254,0.00099095,6.4808,298.06,0,1,0,21231
4.0,30,100,15,14.213,0.00099039,6.4791,298.06,0,1,0,22226
4.2,30,100,15,14.168,0.00098981,6.4889,298.06,0,1,0,22221
4.4,30,100,15,14.13,0.00098922,6.5052,298.07,0,1,0,21717
4.6,30,100,15,14.083,0.00098863,6.5188,298.07,0,1,0,21212
4.8,30,100,15,14.049,0.00098806,6.5223,298.07,0,1,0,21207
5.0,30,100,15,14.003,0.00098753,6.5126,298.08,0,1,0,21702
5.2,30,100,15,13.967,0.00098702,6.4954,298.08,0,1,0,21198
5.4,30,100,15,13.923,0.00098651,6.4821,298.08,0,1,0,22193
5.6,30,100,15,13.875,0.00098597,6.4792,298.09,0,1,0,21688
5.8,30,100,15,13.83,0.0009854,6.4876,298.09,0,1,0,21683
6.0,30,100,15,13.797,0.00098481,6.5015,298.08,0,1,0,21178
6.2,30,100,15,13.745,0.00098423,6.5145,298.08,0,1,0,22173
6.4,30,100,15,13.692,0.00098366,6.5194,298.09,0,1,0,21668
6.6,30,100,15,13.648,0.00098312,6.5144,298.09,0,1,0,21163
6.8,30,100,15,13.596,0.00098259,6.5012,298.09,0,1,0,21659
7.0,30,100,15,13.527,0.00098207,6.4886,298.08,0,1,0,21154
7.2,30,100,15,13.455,0.00098153,6.482,298.08,0,1,0,22149
7.4,30,100,15,13.401,0.00098096,6.4855,298.08,0,1,0,22144
7.6,30,100,15,13.333,0.00098037,6.4951,298.08,0,1,0,21139
7.8,30,100,15,13.276,0.00097977,6.5054,298.08,0,1,0,22134
8.0,30,100,15,13.222,0.00097918,6.5128,298.09,0,1,0,21129
8.2,42,100,15,13.331,0.00097861,6.5144,298.09,0,1,0,22123
8.4,42,100,15,13.254,0.00097805,6.5086,298.1,0,1,0,22118
8.6,42,100,15,13.191,0.00097751,6.4976,298.1,0,1,0,22113
8.8,42,100,15,13.112,0.00097695,6.488,298.11,0,1,0,21108
9.0,42,100,15,13.049,0.00097638,6.4845,298.12,0,1,0,21603
9.2,42,100,15,12.975,0.00097579,6.4847,298.12,0,1,0,21598
9.4,42,100,15,12.919,0.00097518,6.4889,298.13,0,1,0,21093
9.6,42,100,15,12.842,0.00097454,6.4957,298.14,0,1,0,21087
9.8,42,100,15,12.776,0.00097391,6.5042,298.15,0,1,0,21582
10.0,42,100,15,12.693,0.00097327,6.5089,298.15,0,1,0,22077
10.2,42,100,15,12.601,0.00097265,6.5082,298.15,0,1,0,21571
10.4,42,100,15,12.516,0.00097204,6.5039,298.15,0,1,0,21566
10.6,42,100,15,12.41,0.00097143,6.498,298.14,0,1,0,21561
10.8,42,100,15,12.309,0.00097082,6.4931,298.14,0,1,0,22055
11.0,42,100,15,12.221,0.00097019,6.4917,298.14,0,1,0,21050
11.2,42,100,15,12.132,0.00096956,6.4931,298.12,0,1,0,21045
11.4,42,100,15,12.033,0.00096891,6.4942,298.08,0,1,0,21039
11.6,42,100,15,11.92,0.00096826,6.495,298.07,0,1,0,22034
11.8,42,100,15,11.855,0.0009676,6.4968,298.06,0,1,0,22028
12.0,42,100,15,11.835,0.00096693,6.5002,298.04,0,1,0,21523
12.2,42,100,30,11.966,0.00096622,6.5075,298.03,0,1,0,21517
12.4,42,100,30,12.564,0.00096551,6.5259,297.97,0,1,0,21512
12.6,42,100,30,13.538,0.00096484,6.5442,297.9,0,1,0,21506
12.8,42,100,30,13.51,0.00096422,6.5424,298.57,0,1,0,22001
13.0,42,100,30,13.478,0.00096365,6.5188,298.34,0,1,0,20995
13.2,42,100,30,13.456,0.00096311,6.4876,298.17,0,1,0,20990
13.4,42,100,30,13.435,0.00096254,6.4656,298.07,0,1,0,21484
13.6,42,100,30,13.412,0.00096194,6.4611,298.0,0,1,0,21979
13.8,42,100,30,13.391,0.00096128,6.4736,297.95,0,1,0,21973
14.0,42,100,30,13.394,0.00096059,6.4955,297.93,0,1,0,20968
14.2,42,100,30,13.384,0.00095989,6.5191,298.4,0,1,0,21462
14.4,42,100,30,13.364,0.00095921,6.5331,298.25,0,1,0,21456
14.6,42,100,30,13.33,0.00095857,6.5335,298.15,0,1,0,21951
14.8,42,100,30,13.3,0.00095798,6.5197,298.1,0,1,0,21945
15.0,42,100,30,13.285,0.00095742,6.4993,298.06,0,1,0,21940
15.2,42,100,30,13.262,0.00095685,6.4821,298.04,0,1,0,21434
15.4,42,100,30,13.264,0.00095625,6.4761,298.02,0,1,0,21929
15.6,42,100,30,13.237,0.00095563,6.4847,298.01,0,1,0,21423
15.8,42,100,30,13.239,0.00095499,6.5022,298.0,0,1,0,21417
16.0,42,100,30,13.238,0.00095435,6.5185,297.99,0,1,0,20912
16.2,42,100,75,12.221,0.00095358,6.507,298.07,0,1,0,20906
16.4,42,100,75,12.149,0.00095282,6.488,298.13,0,1,0,21401
16.6,42,100,75,12.134,0.00095204,6.4785,298.15,0,1,0,21895
16.8,42,100,75,12.074,0.00095123,6.479,298.16,0,1,0,21889
17.0,42,100,75,12.057,0.00095039,6.4866,298.16,0,1,0,21884
17.2,42,100,75,12.025,0.00094954,6.4974,298.15,0,1,0,21378
17.4,42,100,75,11.99,0.00094868,6.5072,298.13,0,1,0,20872
17.6,42,100,75,11.932,0.00094784,6.5135,298.11,0,1,0,20867
17.8,42,100,75,11.901,0.000947,6.5164,298.1,0,1,0,21861
18.0,42,100,75,11.87,0.0009462,6.5156,298.09,0,1,0,21355
18.2,42,100,75,11.818,0.0009454,6.5092,298.08,0,1,0,21349
18.4,42,100,75,11.795,0.00094462,6.4998,298.08,0,1,0,21844
18.6,42,100,75,11.761,0.00094384,6.4919,298.07,0,1,0,20838
18.8,42,100,75,11.773,0.00094305,6.4885,298.04,0,1,0,20832
19.0,42,100,75,11.75,0.00094224,6.4897,298.02,0,1,0,21326
19.2,42,100,75,11.704,0.00094142,6.4951,298.0,0,1,0,21321
19.4,42,100,75,11.689,0.00094059,6.5005,297.98,0,1,0,21815
19.6,42,100,75,11.643,0.00093977,6.5067,297.97,0,1,0,21809
19.8,42,100,75,11.569,0.00093895,6.5105,297.98,0,1,0,21303
20.0,42,100,75,11.561,0.00093814,6.512,297.99,0,1,0,21297
20.2,55,100,150,10.832,0.00093711,6.4901,298.09,0,1,0,20792
20.4,55,100,150,10.71,0.00093607,6.4707,298.15,0,1,0,21786
20.6,55,100,150,10.637,0.00093498,6.4605,298.19,0,1,0,20780
20.8,55,100,150,10.598,0.00093384,6.4575,298.19,0,1,0,20774
21.0,55,100,150,10.503,0.00093265,6.4567,298.18,0,1,0,21768
21.2,55,100,150,10.423,0.00093141,6.4566,298.18,0,1,0,21762
21.4,55,100,150,10.382,0.00093011,6.4573,298.15,0,1,0,21256
21.6,55,100,150,10.308,0.00092876,6.4581,298.12,0,1,0,20750
21.8,55,100,150,10.22,0.00092736,6.4584,298.11,0,1,0,21744
22.0,55,100,150,10.158,0.00092591,6.4585,298.08,0,1,0,21738
22.2,55,100,150,10.121,0.00092441,6.4587,298.05,0,1,0,21732
22.4,55,100,150,10.143,0.00092287,6.46,298.03,0,1,0,20726
22.6,55,100,150,10.058,0.00092132,6.4606,298.03,0,1,0,21720
22.8,55,100,150,10.007,0.00091977,6.4609,298.04,0,1,0,21214
23.0,55,100,150,9.9447,0.00091823,6.4609,298.05,0,1,0,21708
23.2,55,100,150,9.8749,0.00091668,6.4602,298.07,0,1,0,21202
23.4,55,100,150,9.887,0.00091515,6.4609,298.07,0,1,0,21696
23.6,55,100,150,9.889,0.00091362,6.4625,298.06,0,1,0,21189
23.8,55,100,150,9.8526,0.00091209,6.4643,298.05,0,1,0,21683
24.0,55,100,150,9.8146,0.00091056,6.4661,298.03,0,1,0,20677
24.2,55,100,30,12.451,0.015465,6.5061,297.78,0,1,0,21742
24.4,55,100,30,12.443,0.032763,6.5442,298.9,0,1,0,20821
24.6,55,100,30,12.398,0.049979,6.5779,298.35,0,1,0,21399
24.8,55,100,30,12.267,0.067269,6.6036,298.01,0,1,0,21978
25.0,55,100,30,12.179,0.08488,6.6095,297.86,0,1,0,21058
25.2,55,100,30,12.982,0.10275,6.5856,298.48,0,1,0,22139
25.4,55,100,30,12.963,0.12142,6.5439,298.26,0,1,0,21724
25.6,55,100,30,12.911,0.14038,6.491,298.09,0,1,0,21311
25.8,55,100,30,12.931,0.16038,6.4502,297.99,0,1,0,21903
26.0,55,100,30,12.912,0.18051,6.4389,297.94,0,1,0,22495
26.2,55,100,30,12.926,0.20077,6.4564,298.43,0,1,0,22589
26.4,55,100,30,12.927,0.22149,6.4862,298.3,0,1,0,22684
26.6,55,100,30,12.925,0.24241,6.5161,298.19,0,1,0,22280
26.8,55,100,30,12.893,0.26351,6.5404,298.11,0,1,0,21877
27.0,55,100,30,12.896,0.28543,6.5549,298.05,0,1,0,21979
27.2,55,100,30,12.87,0.30762,6.5397,298.02,0,1,0,23081
27.4,55,100,30,12.802,0.3298,6.5036,298.01,0,1,0,22184
27.6,55,100,30,12.773,0.35212,6.4696,298.0,0,1,0,22787
27.8,55,100,30,12.771,0.37468,6.4559,298.0,0,1,0,23391
28.0,55,100,30,12.778,0.39754,6.4651,297.99,0,1,0,22497
28.2,55,100,37,12.576,0.41529,6.485,298.01,0,1,0,23078
28.4,55,100,37,12.541,0.43233,6.5076,298.02,0,1,0,23655
28.6,55,100,37,12.508,0.44924,6.5267,298.03,0,1,0,23232
