Time_h,Aeration_L/h,Sugar_feed_L/h,Acid_flow_L/h,Base_flow_L/h,WFI_dilution_L/h,Air_pressure_bar,Substrate_conc_g/L,DO_concentration_mg/L,Penicillin_conc_g/L,pH,Temperature_K,Oxygen_Uptake_Rate_g_min,Carbon_evol_rate_g/h
0.2,30.0,8.0,0.0,30.118,0.0,0.6,0.95749,14.711,1.0178000000000001e-25,6.4472,298.22,0.48051,0.034045
0.4,30.0,8.0,0.0,51.221,0.0,0.6,1.0046,14.699,0.001,6.4932,298.17,0.058147,0.038702
0.6,30.0,8.0,0.0,54.302,0.0,0.6,1.0498,14.686,0.00099934,6.5425,298.14,-0.041505,0.04024
0.8,30.0,8.0,0.0,37.816,0.0,0.6,1.0942,14.661,0.00099874,6.5753,298.11,-0.056737,0.041149
1.0,30.0,8.0,0.5181,18.908,0.0,0.6,1.137,14.633,0.00099821,6.5825,298.09,-0.049975,0.041951
1.2,30.0,8.0,1.0387,9.4541,0.0,0.6,1.1782,14.621,0.00099771,6.5717,298.08,-0.045267,0.042758
1.4,30.0,8.0,1.5604,4.727,0.0,0.6,1.2172,14.604,0.00099722,6.5521,298.07,-0.039369,0.043599
1.6,30.0,8.0,2.0823,2.3635,0.0,0.6,1.2544,14.583,0.00099674,6.5287,298.06,-0.031033,0.044478
1.8,30.0,8.0,0.0,0.0,0.0,0.6,1.2891,14.547,0.00099627,6.5061,298.06,-0.016025,0.045398
2.0,30.0,8.0,0.0,0.0,0.0,0.6,1.3218,14.529,0.0009958,6.4844,298.05,-0.0071831,0.046361
2.2,30.0,8.0,0.0,6.7741,0.0,0.6,1.3523,14.509,0.0009953,6.4728,298.05,0.00095122,0.047367
2.4,30.0,8.0,0.0,18.126,0.0,0.6,1.3804,14.496,0.00099477,6.4764,298.05,0.0054429,0.048418
2.6,30.0,8.0,0.0,28.037,0.0,0.6,1.406,14.462,0.00099421,6.4915,298.05,0.018177,0.049515
2.8,30.0,8.0,0.0,31.908,0.0,0.6,1.429,14.434,0.00099363,6.51,298.05,0.030167,0.050658
3.0,30.0,8.0,0.0,28.397,0.0,0.6,1.4495,14.408,0.00099306,6.5233,298.05,0.040673,0.05185
3.2,30.0,15.0,0.0,19.594,0.0,0.6,1.4813,14.372,0.00099251,6.5239,298.06,0.054921,0.053091
3.4,30.0,15.0,0.0,10.588,0.0,0.6,1.5099,14.326,0.00099198,6.5122,298.06,0.074225,0.054382
3.6,30.0,15.0,0.0,6.2774,0.0,0.6,1.5362,14.289,0.00099147,6.4945,298.06,0.091194,0.055722
3.8,30.0,15.0,0.0,9.0006,0.0,0.6,1.5601,14.254,0.00099095,6.4808,298.06,0.10584,0.057114
4.0,30.0,15.0,0.0,17.201,0.0,0.6,1.5812,14.213,0.00099039,6.4791,298.06,0.12264,0.058562
4.2,30.0,15.0,0.0,26.041,0.0,0.6,1.6269,14.168,0.00098981,6.4889,298.06,0.13701,0.060065
4.4,30.0,15.0,0.0,30.979,0.0,0.6,1.6703,14.13,0.00098922,6.5052,298.07,0.15252,0.061618
4.6,30.0,15.0,0.0,29.382,0.0,0.6,1.7103,14.083,0.00098863,6.5188,298.07,0.17099,0.063224
4.8,30.0,15.0,0.0,22.389,0.0,0.6,1.7475,14.049,0.00098806,6.5223,298.07,0.18465,0.064885
5.0,30.0,15.0,0.0,14.017,0.0,0.6,1.7819,14.003,0.00098753,6.5126,298.08,0.20142,0.066604
5.2,30.0,15.0,0.0,9.552,0.0,0.6,1.8122,13.967,0.00098702,6.4954,298.08,0.21438,0.068385
